Master_CDF,feeder_voltage,feeder_max_hc,feeder_min_hc,feeder_dg_connected_since_refresh,hca_refresh_date,color,shape_length
36_01_5365,4.16,1.92,1.2,0,2022/10/01 00:00:00+00,turquoise,0.05233227
36_01_5366,4.16,1.92,0.4,0,2022/10/01 00:00:00+00,turquoise,0.074053783
36_01_5461,4.16,2.6,0.4,0,2022/10/01 00:00:00+00,light blue,0.051536844
36_01_5462,4.16,2.48,0.5,0,2022/10/01 00:00:00+00,light blue,0.052497754
36_01_5464,4.16,1.87,0.7,0,2022/10/01 00:00:00+00,turquoise,0.059966686
36_01_5468,4.16,2.48,0.7,0.01,2022/10/01 00:00:00+00,light blue,0.034037485
36_01_5469,4.16,2.59,0.2,0,2022/10/01 00:00:00+00,light blue,0.016686982
36_01_5471,4.16,2.59,1.1,0,2022/10/01 00:00:00+00,light blue,0.014469036
36_01_5472,4.16,2.59,0.8,0,2022/10/01 00:00:00+00,light blue,0.056132224
36_01_5473,4.16,2.59,0.2,0,2022/10/01 00:00:00+00,light blue,0.080369128
36_01_5561,4.16,3.5,0.6,0,2022/10/01 00:00:00+00,blue,0.113278979
36_01_5562,4.16,3.2,0.2,0,2022/10/01 00:00:00+00,blue,0.020716952
36_01_5563,4.16,3.4,0.1,0,2022/10/01 00:00:00+00,blue,0.083154945
36_01_5565,4.16,2.8,1,0,2022/10/01 00:00:00+00,light blue,0.039707032
36_01_5567,4.16,3.4,0.7,0,2022/10/01 00:00:00+00,blue,0.030308858
36_01_5662,4.16,3.71,0.2,0,2022/10/01 00:00:00+00,blue,0.068321715
36_01_5663,4.16,3.2,0.6,0,2022/10/01 00:00:00+00,blue,0.029575233
36_01_5665,4.16,3.1,0.5,0,2022/10/01 00:00:00+00,blue,0.07295239
36_01_5666,4.16,3.3,0.1,0,2022/10/01 00:00:00+00,blue,0.042013788
36_01_5668,4.16,3.5,0.4,0,2022/10/01 00:00:00+00,blue,0.085475891
36_01_5669,4.16,3.3,0.1,0,2022/10/01 00:00:00+00,blue,0.087484319
36_01_5670,4.16,2.88,0.4,0,2022/10/01 00:00:00+00,light blue,0.064783848
36_01_5671,4.16,2.88,0.2,0,2022/10/01 00:00:00+00,light blue,0.027283805
36_01_5761,4.16,2.61,0.7,0,2022/10/01 00:00:00+00,light blue,0.073729445
36_01_5762,4.16,2.48,1,0,2022/10/01 00:00:00+00,light blue,0.018539952
36_01_5763,4.16,2.61,0.8,0,2022/10/01 00:00:00+00,light blue,0.078723516
36_01_5764,4.16,2.55,0.4,0,2022/10/01 00:00:00+00,light blue,0.048512323
36_01_5766,4.16,2.55,0.2,0,2022/10/01 00:00:00+00,light blue,0.068266284
36_01_5768,4.16,3.5,0.4,0,2022/10/01 00:00:00+00,blue,0.053015362
36_01_5769,4.16,3.5,0.4,0,2022/10/01 00:00:00+00,blue,0.084945977
36_01_5861,4.16,2.64,0.1,0,2022/10/01 00:00:00+00,light blue,0.077324503
36_01_5862,4.16,2.53,0.4,0,2022/10/01 00:00:00+00,light blue,0.064769039
36_01_5864,4.16,2,0.7,0,2022/10/01 00:00:00+00,light blue,0.037821
36_01_5871,4.16,2.54,0.1,0,2022/10/01 00:00:00+00,light blue,0.074495348
36_01_5872,4.16,2.38,0.4,0,2022/10/01 00:00:00+00,light blue,0.069798687
36_01_5881,4.16,2.59,0.1,0,2022/10/01 00:00:00+00,light blue,0.087165305
36_01_5882,4.16,2.38,0.1,0,2022/10/01 00:00:00+00,light blue,0.100455814
36_01_5961,4.16,2.16,1,0,2022/10/01 00:00:00+00,light blue,0.011779585
36_01_5963,4.16,2.16,0.8,0,2022/10/01 00:00:00+00,light blue,0.032164227
36_01_5964,4.16,2.16,0.4,0,2022/10/01 00:00:00+00,light blue,0.056728538
36_01_5965,4.16,2.16,0.7,0,2022/10/01 00:00:00+00,light blue,0.038938425
36_01_5966,4.16,2.16,0.1,0,2022/10/01 00:00:00+00,light blue,0.049923427
36_01_6051,13.2,8.44,0.32,0.01,2022/10/01 00:00:00+00,dark blue,0.170076352
36_01_6052,13.2,8.44,0.5,0,2022/10/01 00:00:00+00,dark blue,0.376356692
36_01_6053,13.2,6.88,0.1,0,2022/10/01 00:00:00+00,dark blue,0.343235534
